station_id,year,variable,value
125,1984,ro,77.467674
125,1984,t2m,1.3272644
125,1984,tp,674.95435
125,1985,ro,37.57866
125,1985,t2m,-0.3102173
125,1985,tp,722.4404
125,1986,ro,78.10189
125,1986,t2m,0.5375916
125,1986,tp,654.44
125,1987,ro,65.64598
125,1987,t2m,-0.06882324
125,1987,tp,700.93506
125,1988,ro,39.09035
125,1988,t2m,0.50856936
125,1988,tp,785.6383
125,1989,ro,89.36532
125,1989,t2m,2.6361022
125,1989,tp,764.16113
125,1990,ro,37.783672
125,1990,t2m,1.9822632
125,1990,tp,667.7902
125,1991,ro,40.096813
125,1991,t2m,1.5494629
125,1991,tp,699.8753
125,1992,ro,89.36254
125,1992,t2m,1.80047
125,1992,tp,906.6372
125,1993,ro,50.1317
125,1993,t2m,0.7758118
125,1993,tp,697.63495
125,1994,ro,24.847662
125,1994,t2m,1.4355103
125,1994,tp,663.8484
125,1995,ro,17.598108
125,1995,t2m,1.0345703
125,1995,tp,758.72754
125,1996,ro,78.76553
125,1996,t2m,1.0121704
125,1996,tp,736.5889
125,1997,ro,56.348457
125,1997,t2m,0.91378176
125,1997,tp,708.34607
125,1998,ro,71.06007
125,1998,t2m,-0.53916013
125,1998,tp,802.41174
125,1999,ro,105.32556
125,1999,t2m,0.7711426
125,1999,tp,812.8156
125,2000,ro,93.83874
125,2000,t2m,2.0674376
125,2000,tp,818.7742
125,2001,ro,64.29708
125,2001,t2m,1.2599732
125,2001,tp,773.39874
125,2002,ro,71.67326
125,2002,t2m,0.98806155
125,2002,tp,759.3643
125,2003,ro,51.900948
125,2003,t2m,1.5865113
125,2003,tp,833.559
125,2004,ro,65.33387
125,2004,t2m,2.131555
125,2004,tp,711.17755
125,2005,ro,54.42072
125,2005,t2m,2.292993
125,2005,tp,873.4208
125,2006,ro,51.402893
125,2006,t2m,1.9647156
125,2006,tp,747.4879
125,2007,ro,70.72727
125,2007,t2m,2.1360106
125,2007,tp,813.7788
125,2008,ro,65.20961
125,2008,t2m,1.4600464
125,2008,tp,629.8365
125,2009,ro,55.13416
125,2009,t2m,1.3018128
125,2009,tp,684.8677
125,2010,ro,86.2444
125,2010,t2m,0.88720095
125,2010,tp,859.29016
125,2011,ro,69.17736
125,2011,t2m,2.3938537
125,2011,tp,741.12415
125,2012,ro,59.6187
125,2012,t2m,1.3857971
125,2012,tp,740.67035
125,2013,ro,33.212723
125,2013,t2m,2.8321776
125,2013,tp,704.59564
